Time	Node	Type	Packets	
6	leaf-7	CacheMisses	50
6	leaf-8	CacheHits	0
6	leaf-8	CacheMisses	51
6	leaf-9	CacheHits	0
6	leaf-9	CacheMisses	46
6	leaf-10	CacheHits	0
6	leaf-10	CacheMisses	57
6	leaf-11	CacheHits	0
6	leaf-11	CacheMisses	58
6	leaf-12	CacheHits	0
6	leaf-12	CacheMisses	54
6	leaf-13	CacheHits	0
6	leaf-13	CacheMisses	0
6	leaf-14	CacheHits	0
6	leaf-14	CacheMisses	53
6	leaf-15	CacheHits	0
6	leaf-15	CacheMisses	55
6	leaf-16	CacheHits	0
6	leaf-16	CacheMisses	66
6.5	gw-root	CacheHits	0
6.5	gw-root	CacheMisses	53
6.5	bb-1	CacheHits	10
6.5	bb-1	CacheMisses	54
6.5	bb-2	CacheHits	60
6.5	bb-2	CacheMisses	54
6.5	bb-3	CacheHits	27
6.5	bb-3	CacheMisses	53
6.5	bb-4	CacheHits	51
6.5	bb-4	CacheMisses	50
6.5	bb-5	CacheHits	68
6.5	bb-5	CacheMisses	53
6.5	bb-6	CacheHits	49
6.5	bb-6	CacheMisses	50
6.5	bb-7	CacheHits	48
6.5	bb-7	CacheMisses	51
